IDSURVEY CID z MU MUERR
150 PS16bby 0.05501 36.91690 0.13560
10 1258940 0.42590 41.89220 0.14820
15 110719 0.42793 42.43590 0.17950
10 1334470 0.51880 42.31570 0.17280
50 1992bl 0.04214 36.29790 0.16040
4 05D4ff 0.40050 41.60160 0.12810
4 03D4fd 0.78907 43.60690 0.18210
4 05D4bm 0.37053 41.49550 0.12370
4 06D4cl 0.99784 43.95740 0.11670
150 AT2016aj 0.06725 37.33820 0.14550
4 04D1de 0.76666 43.58880 0.15450
4 04D1hy 0.84858 43.67390 0.16240
5 2007st 0.02070 34.44870 0.15210
1 7473 0.21472 40.17650 0.13940
1 15132 0.15318 39.37530 0.13030
4 04D3ml 0.95082 44.05320 0.16180
150 PS15cms 0.06648 37.43230 0.15290
15 560033 0.07896 37.78670 0.12350
15 000038 0.15050 39.21380 0.13030
1 21034 0.10774 38.59450 0.13100
150 ASASSN-15nq 0.03011 35.64610 0.13760
150 SN2016aqb 0.06389 37.12290 0.12900
64 2005na 0.02723 35.22780 0.14250
62 1998ef 0.01698 33.98120 0.16710
1 2440 0.19044 40.04010 0.14130
4 04D1pp 0.73368 43.16760 0.14630
51 2008eo 0.01537 34.41750 0.16890
150 PS17tn 0.04594 36.48170 0.13280
10 1328105 0.44020 41.81190 0.15150
4 03D1fc 0.33103 41.12530 0.12420
1 2246 0.19434 39.95050 0.14280
15 100405 0.10294 38.26700 0.12960
50 2008fv_comb 0.01090 33.33320 0.20960
15 360140 0.23092 40.38590 0.13100
10 1306360 0.44940 41.99290 0.19860
10 1302523 0.42390 41.84780 0.12630
50 1993B 0.06963 37.35160 0.16610
10 1305626 0.32570 41.14930 0.12140
4 03D4cy 0.92493 44.08620 0.20420
5 2007af 0.00633 32.12280 0.12314
15 420258 0.27456 40.80190 0.14960
1 18787 0.18929 40.22910 0.14520
63 2003it 0.02520 35.14040 0.15190
50 1992bs 0.06383 37.44990 0.15840
4 05D2ah 0.18616 39.80700 0.12450
15 530037 0.26859 40.70360 0.13190
5 2005am 0.00862 32.43340 0.24560
51 2011fs 0.01986 34.60870 0.15610
4 03D4cz 0.69318 43.11450 0.21350
64 2006cp 0.02179 34.88510 0.15130
1 20048 0.18402 39.88220 0.15890
1 3592 0.08571 37.95320 0.12560
15 500504 0.19961 39.77770 0.13960
15 040150 0.38185 41.67600 0.14960
4 03D3ay 0.37192 41.62960 0.14140
15 110542 0.42703 41.99420 0.15890
150 ASASSN-15fs 0.02924 35.32860 0.13790
150 ASASSN-15uu 0.02631 35.27910 0.14760
101 SCP06G4 1.35136 44.66400 0.21600
10 1333246 0.43790 41.96630 0.21890
10 1308314 0.40650 41.79910 0.13010
1 18463 0.26700 40.68150 0.15980
1 17391 0.18869 39.77550 0.18330
1 16392 0.05834 37.07480 0.14280
1 8495 0.21365 40.11000 0.15170
5 2005iq 0.03357 35.93960 0.13250
10 1335717 0.30480 41.15730 0.12610
150 ASASSN-16hr 0.03097 35.60620 0.14140
62 1997Y 0.01707 34.26340 0.16670
150 Gaia16acv 0.07859 38.00060 0.15070
15 550202 0.42036 41.96240 0.22990
1 12853 0.16828 39.37690 0.14540
1 15170 0.39449 41.56080 0.17310
4 04D1pd 0.94852 44.02130 0.15090
51 2005ki 0.02031 34.62120 0.15810
15 440285 0.17919 39.84340 0.14080
1 14212 0.20320 40.06590 0.13260
15 000034 0.25330 40.47690 0.13000
15 000215 0.46654 42.18370 0.12930
5 2008fw 0.00854 33.17010 0.24810
150 PS16cvc 0.02934 35.80190 0.14070
1 16473 0.21625 40.10120 0.14700
15 160126 0.36034 41.22060 0.16460
